"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 19:41:48 UTC 2022","Mon Apr 04 19:41:48 UTC 2022","2","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertEquals_longCharacters_Discreet","assertEquals_longCharacters_Discreet",""
"passed","Mon Apr 04 19:47:35 UTC 2022","Mon Apr 04 19:47:40 UTC 2022","4541","Suite","Test","testPackage01.Test_verifyEquals","testPackage01.Test_verifyEquals","test_assertElementAttribute","test_assertElementAttribute",""
"skipped","Mon Apr 04 19:44:06 UTC 2022","Mon Apr 04 19:44:06 UTC 2022","1","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f12","f12",""
"passed","Mon Apr 04 19:39:35 UTC 2022","Mon Apr 04 19:39:35 UTC 2022","1","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertComparativeRelation_greaterThanOrEquals_true_equals_expectedToPass","assertComparativeRelation_greaterThanOrEquals_true_equals_expectedToPass",""
"passed","Mon Apr 04 19:39:35 UTC 2022","Mon Apr 04 19:39:35 UTC 2022","2","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertComparativeRelation_greaterThanOrEquals_false_greaterThan_expectedToFail","assertComparativeRelation_greaterThanOrEquals_false_greaterThan_expectedToFail",""
"passed","Mon Apr 04 19:44:54 UTC 2022","Mon Apr 04 19:44:55 UTC 2022","84","Suite","Test","testPackage01.Test_SkipDueToIssue","testPackage01.Test_SkipDueToIssue","skip2","skip2",""
"passed","Mon Apr 04 19:44:43 UTC 2022","Mon Apr 04 19:44:43 UTC 2022","232","Suite","Test","testPackage01.Test_google","testPackage01.Test_google","clickNextThrice","TC003 - Clicks the next button to make sure that the framework can scroll element into view before clicking it",""
"passed","Mon Apr 04 19:42:48 UTC 2022","Mon Apr 04 19:42:50 UTC 2022","1947","Suite","Test","testPackage01.Test_ShadowDOM","testPackage01.Test_ShadowDOM","shadowdom","shadowdom",""
"skipped","Mon Apr 04 19:44:06 UTC 2022","Mon Apr 04 19:44:06 UTC 2022","1","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f11","f11",""
"skipped","Mon Apr 04 19:44:08 UTC 2022","Mon Apr 04 19:44:08 UTC 2022","84","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f28","f28",""
"skipped","Mon Apr 04 19:44:07 UTC 2022","Mon Apr 04 19:44:08 UTC 2022","84","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f27","f27",""
"passed","Mon Apr 04 19:44:14 UTC 2022","Mon Apr 04 19:44:14 UTC 2022","301","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","isNotChecked","isNotChecked",""
"passed","Mon Apr 04 19:44:54 UTC 2022","Mon Apr 04 19:44:54 UTC 2022","305","Suite","Test","testPackage01.Test_JsonCompareWithSpecialCharacters","testPackage01.Test_JsonCompareWithSpecialCharacters","specialCharacters","specialCharacters",""
"passed","Mon Apr 04 19:44:54 UTC 2022","Mon Apr 04 19:44:54 UTC 2022","82","Suite","Test","testPackage01.Test_SkipDueToIssue","testPackage01.Test_SkipDueToIssue","doNotSkip","doNotSkip",""
"skipped","Mon Apr 04 19:44:07 UTC 2022","Mon Apr 04 19:44:07 UTC 2022","84","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f25","f25",""
"failed","Mon Apr 04 19:43:31 UTC 2022","Mon Apr 04 19:44:02 UTC 2022","30819","Suite","Test","testPackage01.TestJSConfirmBox","testPackage01.TestJSConfirmBox","acceptAlert","acceptAlert",""
"skipped","Mon Apr 04 19:44:09 UTC 2022","Mon Apr 04 19:44:09 UTC 2022","2","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f6_1","f6_1",""
"skipped","Mon Apr 04 19:44:07 UTC 2022","Mon Apr 04 19:44:07 UTC 2022","84","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f24","f24",""
"passed","Mon Apr 04 19:41:49 UTC 2022","Mon Apr 04 19:41:57 UTC 2022","8320","Suite","Test","unitTests.tests_restActions","unitTests.tests_restActions","getPostsAndAssertBodyForSpecificTitle","getPostsAndAssertBodyForSpecificTitle",""
"skipped","Mon Apr 04 19:47:50 UTC 2022","Mon Apr 04 19:47:50 UTC 2022","2","Suite","Test","testPackage01.Test_dynamicLoading","testPackage01.Test_dynamicLoading","dynamicLoading_elementIsHidden","dynamicLoading_elementIsHidden",""
"skipped","Mon Apr 04 19:42:42 UTC 2022","Mon Apr 04 19:42:42 UTC 2022","5","Suite","Test","testPackage01.TestJSPromptBox","testPackage01.TestJSPromptBox","assertOnConfirmPromptAlertWithTextMessageResultText","assertOnConfirmPromptAlertWithTextMessageResultText",""
"skipped","Mon Apr 04 19:44:09 UTC 2022","Mon Apr 04 19:44:09 UTC 2022","85","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","forceFail","forceFail",""
"passed","Mon Apr 04 19:44:13 UTC 2022","Mon Apr 04 19:44:13 UTC 2022","532","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","exists","exists",""
